ENSG	name	logFC	P.Value
ENSG00000143845	ETNK2	-5.20e-02	5.93e-01
ENSG00000134352	IL6ST	-2.29e-02	5.93e-01
ENSG00000120992	LYPLA1	-3.38e-02	5.93e-01
ENSG00000132141	CCT6B	 4.01e-02	5.93e-01
ENSG00000004455	AK2	 2.28e-02	5.94e-01
ENSG00000164823	OSGIN2	 5.25e-02	5.94e-01
ENSG00000183960	KCNH8	-1.06e-01	5.94e-01
ENSG00000104872	PIH1D1	 2.96e-02	5.94e-01
ENSG00000109501	WFS1	-3.62e-02	5.94e-01
ENSG00000160813	PPP1R35	 2.93e-02	5.94e-01
ENSG00000129170	CSRP3	 8.38e-02	5.94e-01
ENSG00000157653	C9orf43	 8.25e-02	5.94e-01
ENSG00000118193	KIF14	 9.36e-02	5.94e-01
ENSG00000128335	APOL2	-3.16e-02	5.94e-01
ENSG00000157625	TAB3	-1.72e-02	5.94e-01
ENSG00000149474	CSRP2BP	 2.66e-02	5.94e-01
ENSG00000173715	C11orf80	-6.01e-02	5.94e-01
ENSG00000177352	CCDC71	 2.05e-02	5.94e-01
ENSG00000162148	PPP1R32	 5.63e-02	5.95e-01
ENSG00000133247	KMT5C	 3.14e-02	5.95e-01
ENSG00000162775	RBM15	 2.12e-02	5.95e-01
ENSG00000168916	ZNF608	 5.16e-02	5.95e-01
ENSG00000183783	KCTD8	 7.78e-02	5.95e-01
ENSG00000164039	BDH2	-3.01e-02	5.95e-01
ENSG00000122591	FAM126A	 5.54e-02	5.95e-01
ENSG00000094804	CDC6	 5.86e-02	5.95e-01
ENSG00000100802	C14orf93	-2.35e-02	5.96e-01
ENSG00000082515	MRPL22	 2.49e-02	5.96e-01
ENSG00000042088	TDP1	 3.29e-02	5.96e-01
ENSG00000185909	KLHDC8B	 4.54e-02	5.96e-01
ENSG00000074416	MGLL	 3.35e-02	5.96e-01
ENSG00000163519	TRAT1	 1.02e-01	5.96e-01
ENSG00000111897	SERINC1	 2.14e-02	5.96e-01
ENSG00000092140	G2E3	-2.00e-02	5.96e-01
ENSG00000167470	MIDN	 7.07e-02	5.96e-01
ENSG00000213139	CRYGS	-3.20e-02	5.96e-01
ENSG00000143337	TOR1AIP1	-2.32e-02	5.96e-01
ENSG00000067064	IDI1	 4.62e-02	5.96e-01
ENSG00000166199	ALKBH3	 2.77e-02	5.96e-01
ENSG00000117475	BLZF1	 1.71e-02	5.96e-01
ENSG00000235194	PPP1R3E	-3.38e-02	5.96e-01
ENSG00000106952	TNFSF8	 7.84e-02	5.97e-01
ENSG00000142910	TINAGL1	-4.43e-02	5.97e-01
ENSG00000107341	UBE2R2	-2.20e-02	5.97e-01
ENSG00000137413	TAF8	-1.74e-02	5.97e-01
ENSG00000173621	LRFN4	-5.68e-02	5.97e-01
ENSG00000139714	MORN3	-9.43e-02	5.97e-01
ENSG00000005020	SKAP2	 4.30e-02	5.97e-01
ENSG00000008256	CYTH3	-2.71e-02	5.97e-01
ENSG00000156970	BUB1B	-1.14e-01	5.97e-01
ENSG00000188343	FAM92A1	 3.98e-02	5.97e-01
ENSG00000141034	GID4	 3.47e-02	5.97e-01
ENSG00000197381	ADARB1	-5.11e-02	5.97e-01
ENSG00000135913	USP37	-2.09e-02	5.98e-01
ENSG00000120029	C10orf76	-2.60e-02	5.98e-01
ENSG00000124602	UNC5CL	-6.10e-02	5.98e-01
ENSG00000054392	HHAT	-3.42e-02	5.98e-01
ENSG00000111880	RNGTT	 2.58e-02	5.98e-01
ENSG00000164398	ACSL6	-6.77e-02	5.98e-01
ENSG00000131591	C1orf159	 3.38e-02	5.98e-01
ENSG00000183196	CHST6	 1.34e-01	5.98e-01
ENSG00000213741	RPS29	-2.89e-02	5.98e-01
ENSG00000139832	RAB20	-6.97e-02	5.98e-01
ENSG00000167536	DHRS13	 3.13e-02	5.98e-01
ENSG00000189050	RNFT1	-3.05e-02	5.98e-01
ENSG00000103047	TANGO6	-2.09e-02	5.99e-01
ENSG00000102547	CAB39L	 7.64e-02	5.99e-01
ENSG00000213886	UBD	-2.35e-01	5.99e-01
ENSG00000140525	FANCI	 5.08e-02	5.99e-01
ENSG00000275302	CCL4	-1.47e-01	5.99e-01
ENSG00000139233	LLPH	 2.23e-02	5.99e-01
ENSG00000006015	C19orf60	-3.29e-02	5.99e-01
ENSG00000112787	FBRSL1	-4.78e-02	5.99e-01
ENSG00000023572	GLRX2	-3.24e-02	5.99e-01
ENSG00000127249	ATP13A4	 1.62e-01	5.99e-01
ENSG00000081320	STK17B	 4.69e-02	5.99e-01
ENSG00000185453	C19orf68	-3.55e-02	5.99e-01
ENSG00000186111	PIP5K1C	 3.97e-02	6.00e-01
ENSG00000162929	KIAA1841	 3.29e-02	6.00e-01
ENSG00000125755	SYMPK	 2.55e-02	6.00e-01
ENSG00000160539	PLPP7	 2.91e-02	6.00e-01
ENSG00000063180	CA11	 4.52e-02	6.00e-01
ENSG00000188917	TRMT2B	-3.41e-02	6.00e-01
ENSG00000170915	PAQR8	 5.34e-02	6.00e-01
ENSG00000143353	LYPLAL1	-2.70e-02	6.00e-01
ENSG00000168813	ZNF507	 2.52e-02	6.00e-01
ENSG00000159086	PAXBP1	-2.15e-02	6.00e-01
ENSG00000144043	TEX261	 2.62e-02	6.00e-01
ENSG00000130037	KCNA5	 1.07e-01	6.00e-01
ENSG00000081014	AP4E1	 2.09e-02	6.00e-01
ENSG00000272410	RP11-438J1.1	-4.65e-02	6.00e-01
ENSG00000096717	SIRT1	-2.17e-02	6.00e-01
ENSG00000156795	WDYHV1	 4.52e-02	6.00e-01
ENSG00000125810	CD93	-4.57e-02	6.01e-01
ENSG00000125746	EML2	 6.20e-02	6.01e-01
ENSG00000186280	KDM4D	 4.27e-02	6.01e-01
ENSG00000176018	LYSMD3	-2.03e-02	6.01e-01
ENSG00000127252	HRASLS	 5.11e-02	6.01e-01
ENSG00000092607	TBX15	 2.54e-02	6.01e-01
ENSG00000155463	OXA1L	-2.90e-02	6.01e-01
ENSG00000257767	RP11-162P23.2	 3.47e-01	6.01e-01
ENSG00000187140	FOXD3	-1.07e-01	6.01e-01
ENSG00000121104	FAM117A	-3.84e-02	6.02e-01
ENSG00000198642	KLHL9	-1.99e-02	6.02e-01
ENSG00000085514	PILRA	 8.20e-02	6.02e-01
ENSG00000162512	SDC3	 3.58e-02	6.02e-01
ENSG00000220205	VAMP2	 3.50e-02	6.02e-01
ENSG00000129675	ARHGEF6	 4.57e-02	6.02e-01
ENSG00000137575	SDCBP	-2.65e-02	6.02e-01
ENSG00000198522	GPN1	-1.91e-02	6.02e-01
ENSG00000120539	MASTL	 4.16e-02	6.02e-01
ENSG00000006451	RALA	-2.66e-02	6.02e-01
ENSG00000177663	IL17RA	-4.03e-02	6.02e-01
ENSG00000080166	DCT	-6.48e-02	6.02e-01
ENSG00000164867	NOS3	-5.41e-02	6.02e-01
ENSG00000149257	SERPINH1	 4.33e-02	6.02e-01
ENSG00000223802	CERS1	 4.33e-02	6.02e-01
ENSG00000197406	DIO3	-8.14e-02	6.02e-01
ENSG00000204334	ERICH2	-1.24e-01	6.03e-01
ENSG00000185615	PDIA2	-1.53e-01	6.03e-01
ENSG00000248643	RBM14-RBM4	 4.08e-02	6.03e-01
ENSG00000063176	SPHK2	 4.09e-02	6.03e-01
ENSG00000221988	PPT2	-2.39e-02	6.03e-01
ENSG00000186908	ZDHHC17	 1.72e-02	6.03e-01
ENSG00000075218	GTSE1	 1.12e-01	6.04e-01
ENSG00000171992	SYNPO	 3.12e-02	6.04e-01
ENSG00000180357	ZNF609	 2.05e-02	6.04e-01
ENSG00000143067	ZNF697	 4.62e-02	6.04e-01
ENSG00000162521	RBBP4	-1.62e-02	6.04e-01
ENSG00000104951	IL4I1	 1.09e-01	6.04e-01
ENSG00000133226	SRRM1	-3.24e-02	6.04e-01
ENSG00000261934	PCDHGA9	-4.35e-02	6.04e-01
ENSG00000132702	HAPLN2	-7.10e-02	6.04e-01
ENSG00000248098	BCKDHA	 4.42e-02	6.04e-01
ENSG00000082641	NFE2L1	 3.81e-02	6.04e-01
ENSG00000205531	NAP1L4	 1.42e-02	6.04e-01
ENSG00000146535	GNA12	 2.21e-02	6.05e-01
ENSG00000261221	ZNF865	 4.64e-02	6.05e-01
ENSG00000215174	RP13-487C10.1	-1.20e-01	6.05e-01
ENSG00000196937	FAM3C	 2.63e-02	6.05e-01
ENSG00000050165	DKK3	-8.75e-02	6.05e-01
ENSG00000131067	GGT7	 9.60e-02	6.05e-01
ENSG00000067177	PHKA1	-5.55e-02	6.05e-01
ENSG00000158457	TSPAN33	 4.35e-02	6.06e-01
ENSG00000172995	ARPP21	 6.31e-02	6.06e-01
ENSG00000183779	ZNF703	-5.67e-02	6.06e-01
ENSG00000130595	TNNT3	-6.25e-02	6.06e-01
ENSG00000125864	BFSP1	-4.45e-02	6.06e-01
ENSG00000235272	RP3-427A4.2	 1.75e-01	6.06e-01
ENSG00000156384	SFR1	 3.38e-02	6.06e-01
ENSG00000165525	NEMF	-2.05e-02	6.06e-01
ENSG00000157150	TIMP4	-8.46e-02	6.06e-01
ENSG00000167641	PPP1R14A	 7.66e-02	6.06e-01
ENSG00000180979	LRRC57	-1.76e-02	6.07e-01
ENSG00000106077	ABHD11	-4.70e-02	6.07e-01
ENSG00000124795	DEK	-2.89e-02	6.07e-01
ENSG00000157214	STEAP2	 7.75e-02	6.07e-01
ENSG00000144524	COPS7B	 1.86e-02	6.07e-01
ENSG00000100505	TRIM9	 7.87e-02	6.07e-01
ENSG00000077514	POLD3	 2.17e-02	6.07e-01
ENSG00000109680	TBC1D19	-2.32e-02	6.07e-01
ENSG00000170085	SIMC1	 4.03e-02	6.07e-01
ENSG00000102287	GABRE	-7.82e-02	6.07e-01
ENSG00000204713	TRIM27	 1.75e-02	6.07e-01
ENSG00000171451	DSEL	 5.70e-02	6.08e-01
ENSG00000138193	PLCE1	-8.69e-02	6.08e-01
ENSG00000054523	KIF1B	-2.76e-02	6.08e-01
ENSG00000144118	RALB	 3.25e-02	6.08e-01
ENSG00000197769	MAP1LC3C	 1.56e-01	6.08e-01
ENSG00000149480	MTA2	 1.80e-02	6.08e-01
ENSG00000133103	COG6	-3.43e-02	6.08e-01
ENSG00000120280	CXorf21	 1.02e-01	6.08e-01
ENSG00000188375	H3F3C	 1.47e-01	6.08e-01
ENSG00000121210	KIAA0922	-4.05e-02	6.08e-01
ENSG00000178974	FBXO34	 2.52e-02	6.08e-01
ENSG00000140992	PDPK1	-1.78e-02	6.08e-01
ENSG00000135437	RDH5	-5.88e-02	6.08e-01
ENSG00000016864	GLT8D1	-2.05e-02	6.08e-01
ENSG00000260643	RP11-303E16.8	-4.63e-02	6.08e-01
ENSG00000109929	SC5D	 2.60e-02	6.08e-01
ENSG00000113140	SPARC	 5.80e-02	6.08e-01
ENSG00000165078	CPA6	-1.14e-01	6.08e-01
ENSG00000183775	KCTD16	 1.40e-01	6.09e-01
ENSG00000243709	LEFTY1	-9.30e-02	6.09e-01
ENSG00000242732	RGAG4	 4.61e-02	6.09e-01
ENSG00000112651	MRPL2	-2.75e-02	6.09e-01
ENSG00000186174	BCL9L	-5.37e-02	6.09e-01
ENSG00000132196	HSD17B7	-3.86e-02	6.09e-01
ENSG00000077235	GTF3C1	 1.96e-02	6.09e-01
ENSG00000161682	FAM171A2	 1.14e-01	6.09e-01
ENSG00000198899	MT-ATP6	-5.30e-02	6.09e-01
ENSG00000147485	PXDNL	 1.19e-01	6.09e-01
ENSG00000147123	NDUFB11	 3.11e-02	6.09e-01
ENSG00000177303	CASKIN2	-3.87e-02	6.10e-01
ENSG00000162458	FBLIM1	 9.03e-02	6.10e-01
ENSG00000171700	RGS19	 4.49e-02	6.10e-01
ENSG00000146007	ZMAT2	 2.37e-02	6.10e-01
ENSG00000175305	CCNE2	 5.21e-02	6.10e-01
ENSG00000163154	TNFAIP8L2	 8.91e-02	6.10e-01
ENSG00000077147	TM9SF3	 1.82e-02	6.10e-01
ENSG00000184887	BTBD6	 4.18e-02	6.10e-01
ENSG00000116815	CD58	 2.62e-02	6.10e-01
ENSG00000164022	AIMP1	 2.02e-02	6.10e-01
ENSG00000173226	IQCB1	-2.92e-02	6.10e-01
ENSG00000011454	RABGAP1	-1.24e-02	6.11e-01
ENSG00000134899	ERCC5	-1.76e-02	6.11e-01
ENSG00000152953	STK32B	 5.97e-02	6.11e-01
ENSG00000164684	ZNF704	-3.34e-02	6.11e-01
ENSG00000172661	WASHC2C	 3.32e-02	6.11e-01
ENSG00000125846	ZNF133	-2.14e-02	6.11e-01
ENSG00000213347	MXD3	-5.02e-02	6.11e-01
ENSG00000169248	CXCL11	-1.55e-01	6.11e-01
ENSG00000233822	HIST1H2BN	 4.33e-02	6.11e-01
ENSG00000278311	GGNBP2	-2.01e-02	6.11e-01
ENSG00000033327	GAB2	 5.73e-02	6.12e-01
ENSG00000110711	AIP	 3.23e-02	6.12e-01
ENSG00000173207	CKS1B	-3.40e-02	6.12e-01
ENSG00000143479	DYRK3	 5.53e-02	6.12e-01
ENSG00000111911	HINT3	-2.63e-02	6.12e-01
ENSG00000280165	PCDH20	 1.47e-01	6.12e-01
ENSG00000118655	DCLRE1B	 2.72e-02	6.12e-01
ENSG00000107485	GATA3	-7.48e-02	6.12e-01
ENSG00000213638	ADAT3	-8.75e-02	6.13e-01
ENSG00000196371	FUT4	 2.47e-02	6.13e-01
ENSG00000169223	LMAN2	 1.84e-02	6.13e-01
ENSG00000172476	RAB40A	-5.57e-02	6.13e-01
ENSG00000187908	DMBT1	-3.02e-01	6.13e-01
ENSG00000141456	PELP1	-2.50e-02	6.13e-01
ENSG00000164107	HAND2	-6.89e-02	6.13e-01
ENSG00000114861	FOXP1	-3.17e-02	6.13e-01
ENSG00000136243	NUPL2	-2.60e-02	6.13e-01
ENSG00000181847	TIGIT	 1.12e-01	6.13e-01
ENSG00000177191	B3GNT8	-5.35e-02	6.14e-01
ENSG00000203942	C10orf62	-1.27e-01	6.14e-01
ENSG00000204946	ZNF783	-2.81e-02	6.14e-01
ENSG00000180182	MED14	 3.04e-02	6.14e-01
ENSG00000240972	MIF	 4.46e-02	6.14e-01
ENSG00000130939	UBE4B	-2.38e-02	6.14e-01
ENSG00000139921	TMX1	-1.98e-02	6.14e-01
ENSG00000100207	TCF20	-1.75e-02	6.14e-01
ENSG00000196337	CGB7	-5.87e-02	6.14e-01
ENSG00000124074	ENKD1	-3.03e-02	6.14e-01
ENSG00000172382	PRSS27	 5.47e-02	6.14e-01
ENSG00000149357	LAMTOR1	-2.88e-02	6.15e-01
ENSG00000143882	ATP6V1C2	-1.13e-01	6.15e-01
ENSG00000134057	CCNB1	-3.98e-02	6.15e-01
ENSG00000118308	LRMP	 6.43e-02	6.15e-01
ENSG00000121064	SCPEP1	-5.20e-02	6.15e-01
ENSG00000173171	MTX1	-2.07e-02	6.15e-01
ENSG00000102302	FGD1	 5.21e-02	6.16e-01
ENSG00000131437	KIF3A	-2.68e-02	6.16e-01
ENSG00000176261	ZBTB8OS	 2.51e-02	6.16e-01
ENSG00000184634	MED12	-2.63e-02	6.16e-01
ENSG00000131446	MGAT1	-1.93e-02	6.16e-01
ENSG00000137337	MDC1	 3.66e-02	6.16e-01
ENSG00000273003	ARL2-SNX15	-3.24e-01	6.16e-01
ENSG00000182732	RGS6	 7.06e-02	6.16e-01
ENSG00000197980	LEKR1	 6.58e-02	6.16e-01
ENSG00000162066	AMDHD2	 2.86e-02	6.16e-01
ENSG00000083099	LYRM2	-2.43e-02	6.16e-01
ENSG00000237489	RP11-500G10.1	 3.14e-02	6.16e-01
ENSG00000115457	IGFBP2	 5.81e-02	6.16e-01
ENSG00000146083	RNF44	-3.00e-02	6.16e-01
ENSG00000159307	SCUBE1	 1.38e-01	6.16e-01
ENSG00000066294	CD84	-6.53e-02	6.16e-01
ENSG00000107874	CUEDC2	 2.66e-02	6.17e-01
ENSG00000124702	KLHDC3	-3.49e-02	6.17e-01
ENSG00000115504	EHBP1	-2.80e-02	6.17e-01
ENSG00000112584	FAM120B	 2.04e-02	6.17e-01
ENSG00000177082	WDR73	-2.14e-02	6.17e-01
ENSG00000071909	MYO3B	-7.90e-02	6.17e-01
ENSG00000164049	FBXW12	 9.36e-02	6.17e-01
ENSG00000118473	SGIP1	 4.76e-02	6.18e-01
ENSG00000164190	NIPBL	-1.77e-02	6.18e-01
ENSG00000184205	TSPYL2	 5.41e-02	6.18e-01
ENSG00000178568	ERBB4	 7.24e-02	6.18e-01
ENSG00000136161	RCBTB2	-3.04e-02	6.19e-01
ENSG00000071626	DAZAP1	-1.94e-02	6.19e-01
ENSG00000111450	STX2	-3.99e-02	6.19e-01
ENSG00000130338	TULP4	 4.52e-02	6.19e-01
ENSG00000197620	CXorf40A	-3.84e-02	6.19e-01
ENSG00000137198	GMPR	 2.96e-02	6.19e-01
ENSG00000126814	TRMT5	 2.12e-02	6.19e-01
ENSG00000253626	EIF5AL1	 5.72e-02	6.19e-01
ENSG00000116198	CEP104	 1.87e-02	6.19e-01
ENSG00000197780	TAF13	 3.14e-02	6.19e-01
ENSG00000111725	PRKAB1	 2.18e-02	6.19e-01
ENSG00000130749	ZC3H4	-2.58e-02	6.19e-01
ENSG00000233927	RPS28	 2.14e-02	6.20e-01
ENSG00000136040	PLXNC1	-5.26e-02	6.20e-01
ENSG00000267120	AD000671.6	 1.38e-01	6.20e-01
ENSG00000205560	CPT1B	-6.11e-02	6.20e-01
ENSG00000153558	FBXL2	 7.13e-02	6.20e-01
ENSG00000134313	KIDINS220	-2.08e-02	6.20e-01
ENSG00000169683	LRRC45	-3.91e-02	6.20e-01
ENSG00000162591	MEGF6	 5.91e-02	6.20e-01
ENSG00000211460	TSN	 1.67e-02	6.20e-01
ENSG00000138018	EPT1	 1.83e-02	6.20e-01
ENSG00000023516	AKAP11	-3.11e-02	6.20e-01
ENSG00000089177	KIF16B	-1.71e-02	6.20e-01
ENSG00000164929	BAALC	 7.60e-02	6.21e-01
ENSG00000134461	ANKRD16	-2.61e-02	6.21e-01
ENSG00000084676	NCOA1	-2.23e-02	6.21e-01
ENSG00000164961	WASHC5	 1.59e-02	6.21e-01
ENSG00000138760	SCARB2	 3.08e-02	6.21e-01
ENSG00000115183	TANC1	-4.20e-02	6.21e-01
ENSG00000213398	LCAT	 3.58e-02	6.21e-01
ENSG00000147677	EIF3H	 1.65e-02	6.21e-01
ENSG00000170954	ZNF415	-7.78e-02	6.21e-01
ENSG00000136205	TNS3	-3.60e-02	6.21e-01
ENSG00000166439	RNF169	-1.59e-02	6.21e-01
ENSG00000103148	NPRL3	-3.86e-02	6.21e-01
ENSG00000165119	HNRNPK	 1.32e-02	6.21e-01
ENSG00000160216	AGPAT3	-3.66e-02	6.21e-01
ENSG00000134070	IRAK2	-6.61e-02	6.21e-01
ENSG00000108061	SHOC2	 1.16e-02	6.21e-01
ENSG00000092054	MYH7	 4.96e-02	6.22e-01
ENSG00000105227	PRX	 4.66e-02	6.22e-01
ENSG00000170265	ZNF282	 2.22e-02	6.22e-01
ENSG00000164136	IL15	-5.09e-02	6.22e-01
ENSG00000100441	KHNYN	-2.69e-02	6.22e-01
ENSG00000092931	MFSD11	-2.26e-02	6.22e-01
ENSG00000183864	TOB2	-4.16e-02	6.22e-01
ENSG00000182749	PAQR7	-3.17e-02	6.22e-01
ENSG00000213639	PPP1CB	-2.42e-02	6.23e-01
ENSG00000154305	MIA3	 1.73e-02	6.23e-01
ENSG00000174669	SLC29A2	-3.74e-02	6.23e-01
ENSG00000173218	VANGL1	-4.12e-02	6.23e-01
ENSG00000168309	FAM107A	 5.04e-02	6.23e-01
ENSG00000146733	PSPH	 3.87e-02	6.23e-01
ENSG00000104611	SH2D4A	 5.94e-02	6.23e-01
ENSG00000182150	ERCC6L2	-1.74e-02	6.23e-01
ENSG00000146453	PNLDC1	-1.38e-01	6.23e-01
ENSG00000277481	PKD1L3	-7.20e-02	6.23e-01
ENSG00000267534	S1PR2	-5.27e-02	6.23e-01
ENSG00000114978	MOB1A	-2.27e-02	6.24e-01
ENSG00000266524	GDF10	 9.09e-02	6.24e-01
ENSG00000204472	AIF1	-8.34e-02	6.24e-01
ENSG00000276612	CH507-9B2.4	-3.16e-01	6.25e-01
ENSG00000124212	PTGIS	 8.63e-02	6.25e-01
ENSG00000084628	NKAIN1	-7.34e-02	6.25e-01
ENSG00000204922	C11orf83	 4.31e-02	6.25e-01
ENSG00000165684	SNAPC4	-2.97e-02	6.25e-01
ENSG00000104763	ASAH1	 3.34e-02	6.25e-01
ENSG00000155304	HSPA13	 2.32e-02	6.25e-01
ENSG00000132405	TBC1D14	-1.94e-02	6.25e-01
ENSG00000253293	HOXA10	 3.30e-02	6.25e-01
ENSG00000035403	VCL	 3.40e-02	6.25e-01
ENSG00000178694	NSUN3	 2.44e-02	6.25e-01
ENSG00000083544	TDRD3	-2.00e-02	6.25e-01
ENSG00000120798	NR2C1	 2.70e-02	6.26e-01
ENSG00000269743	SLC25A53	 2.94e-02	6.26e-01
ENSG00000130363	RSPH3	 2.39e-02	6.26e-01
ENSG00000132294	EFR3A	-2.24e-02	6.26e-01
ENSG00000204390	HSPA1L	 4.50e-02	6.26e-01
ENSG00000174177	CTU2	 2.68e-02	6.26e-01
ENSG00000177971	IMP3	 2.56e-02	6.26e-01
ENSG00000004478	FKBP4	 3.77e-02	6.26e-01
ENSG00000111052	LIN7A	-3.70e-02	6.26e-01
ENSG00000104626	ERI1	-2.42e-02	6.26e-01
ENSG00000214274	ANG	-4.10e-02	6.26e-01
ENSG00000182827	ACBD3	 1.12e-02	6.26e-01
ENSG00000204525	HLA-C	 5.94e-02	6.26e-01
ENSG00000168918	INPP5D	 3.84e-02	6.26e-01
ENSG00000188001	TPRG1	-1.06e-01	6.27e-01
ENSG00000116117	PARD3B	-2.75e-02	6.27e-01
ENSG00000099994	SUSD2	-9.19e-02	6.27e-01
ENSG00000169252	ADRB2	 3.66e-02	6.27e-01
ENSG00000196367	TRRAP	-2.87e-02	6.27e-01
ENSG00000111696	NT5DC3	 4.72e-02	6.27e-01
ENSG00000155858	LSM11	 3.03e-02	6.27e-01
ENSG00000163673	DCLK3	 5.65e-02	6.27e-01
ENSG00000125652	ALKBH7	-4.20e-02	6.27e-01
ENSG00000019485	PRDM11	 2.84e-02	6.27e-01
ENSG00000164134	NAA15	 1.73e-02	6.27e-01
ENSG00000143207	RFWD2	 1.52e-02	6.27e-01
ENSG00000143569	UBAP2L	 1.70e-02	6.27e-01
ENSG00000113558	SKP1	-1.56e-02	6.27e-01
ENSG00000163293	NIPAL1	-7.62e-02	6.27e-01
ENSG00000101439	CST3	-3.66e-02	6.27e-01
ENSG00000138658	ZGRF1	 3.10e-02	6.28e-01
ENSG00000185664	PMEL	 8.71e-02	6.28e-01
ENSG00000146013	GFRA3	 1.37e-01	6.28e-01
ENSG00000198087	CD2AP	 1.82e-02	6.28e-01
ENSG00000091157	WDR7	-1.54e-02	6.28e-01
ENSG00000158481	CD1C	-1.42e-01	6.28e-01
ENSG00000185787	MORF4L1	-1.67e-02	6.29e-01
ENSG00000187546	AGMO	 5.57e-02	6.29e-01
ENSG00000167208	SNX20	 6.85e-02	6.29e-01
ENSG00000138764	CCNG2	-4.81e-02	6.29e-01
ENSG00000137770	CTDSPL2	-1.75e-02	6.29e-01
ENSG00000181690	PLAG1	-8.91e-02	6.29e-01
ENSG00000147592	LACTB2	 5.16e-02	6.29e-01
ENSG00000083828	ZNF586	-3.21e-02	6.29e-01
ENSG00000229833	C19orf79	-3.34e-02	6.29e-01
ENSG00000120656	TAF12	 1.98e-02	6.29e-01
ENSG00000100968	NFATC4	-4.20e-02	6.29e-01
ENSG00000235109	ZSCAN31	 6.28e-02	6.30e-01
ENSG00000141569	TRIM65	 1.89e-02	6.30e-01
ENSG00000110848	CD69	 9.63e-02	6.30e-01
ENSG00000129680	MAP7D3	-4.88e-02	6.30e-01
ENSG00000171132	PRKCE	-3.14e-02	6.30e-01
ENSG00000243696	RP5-966M1.6	 6.71e-02	6.30e-01
ENSG00000172824	CES4A	 4.26e-02	6.30e-01
ENSG00000187266	EPOR	-4.26e-02	6.31e-01
ENSG00000167889	MGAT5B	 9.11e-02	6.31e-01
ENSG00000089063	TMEM230	-2.00e-02	6.31e-01
ENSG00000132382	MYBBP1A	-5.23e-02	6.31e-01
ENSG00000140598	EFL1	-1.79e-02	6.31e-01
ENSG00000186453	FAM228A	-7.39e-02	6.31e-01
ENSG00000183496	MEX3B	-3.72e-02	6.31e-01
ENSG00000188707	ZBED6CL	-7.83e-02	6.31e-01
ENSG00000183148	ANKRD20A2	 2.07e-01	6.31e-01
ENSG00000240053	LY6G5B	-4.44e-02	6.31e-01
ENSG00000213397	HAUS7	 2.56e-02	6.32e-01
ENSG00000169814	BTD	-2.76e-02	6.32e-01
ENSG00000136147	PHF11	 2.56e-02	6.32e-01
ENSG00000073803	MAP3K13	-2.54e-02	6.32e-01
ENSG00000196126	HLA-DRB1	-5.35e-02	6.32e-01
ENSG00000114013	CD86	 8.10e-02	6.32e-01
ENSG00000116285	ERRFI1	 7.82e-02	6.32e-01
ENSG00000013583	HEBP1	-3.34e-02	6.32e-01
ENSG00000198523	PLN	-3.40e-02	6.32e-01
ENSG00000185386	MAPK11	 3.12e-02	6.33e-01
ENSG00000042493	CAPG	-8.53e-02	6.33e-01
ENSG00000150051	MKX	 1.73e-01	6.33e-01
ENSG00000100504	PYGL	-5.50e-02	6.33e-01
ENSG00000090061	CCNK	-3.57e-02	6.33e-01
ENSG00000154144	TBRG1	 1.58e-02	6.33e-01
ENSG00000151413	NUBPL	-3.83e-02	6.33e-01
ENSG00000105810	CDK6	-3.48e-02	6.33e-01
ENSG00000127995	CASD1	-1.67e-02	6.33e-01
ENSG00000123136	DDX39A	 2.23e-02	6.33e-01
ENSG00000065268	WDR18	 3.93e-02	6.33e-01
ENSG00000204179	PTPN20	-1.39e-01	6.33e-01
ENSG00000071894	CPSF1	-3.39e-02	6.33e-01
ENSG00000116991	SIPA1L2	 5.67e-02	6.33e-01
ENSG00000244607	CCDC13	-9.00e-02	6.34e-01
ENSG00000181619	GPR135	-3.58e-02	6.34e-01
ENSG00000158526	TSR2	 1.74e-02	6.34e-01
ENSG00000099797	TECR	 2.97e-02	6.34e-01
ENSG00000102753	KPNA3	 2.32e-02	6.34e-01
ENSG00000100014	SPECC1L	-1.64e-02	6.34e-01
ENSG00000008382	MPND	 2.87e-02	6.35e-01
ENSG00000016391	CHDH	-5.34e-02	6.35e-01
ENSG00000169418	NPR1	 3.84e-02	6.35e-01
ENSG00000196233	LCOR	-2.26e-02	6.35e-01
ENSG00000100104	SRRD	 2.46e-02	6.35e-01
ENSG00000188738	FSIP2	-1.65e-01	6.35e-01
ENSG00000124507	PACSIN1	-1.06e-01	6.35e-01
ENSG00000100276	RASL10A	 7.40e-02	6.35e-01
ENSG00000114904	NEK4	 2.17e-02	6.35e-01
ENSG00000101542	CDH20	-1.51e-01	6.35e-01
ENSG00000056277	ZNF280C	 3.92e-02	6.35e-01
ENSG00000115816	CEBPZ	 2.11e-02	6.35e-01
ENSG00000188986	NELFB	 1.59e-02	6.35e-01
ENSG00000087111	PIGS	 1.57e-02	6.35e-01
ENSG00000127124	HIVEP3	 5.76e-02	6.35e-01
ENSG00000185499	MUC1	 9.71e-02	6.35e-01
ENSG00000070610	GBA2	-3.23e-02	6.35e-01
ENSG00000111666	CHPT1	 3.48e-02	6.35e-01
ENSG00000165516	KLHDC2	-1.76e-02	6.35e-01
ENSG00000172061	LRRC15	 1.67e-01	6.35e-01
ENSG00000136732	GYPC	 3.09e-02	6.35e-01
ENSG00000129696	C8orf41	 2.25e-02	6.35e-01
